,GFP,tax1,tax2,dist,cluster,allele,GFP_log
0,1146.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.162391328756906
1,1596.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.640244936222345
2,1396.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.447083226209653
3,1275.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.31628153174622
4,2809.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.455840909126398
5,1558.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.605479518061669
6,2539.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.310044679647506
7,2687.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.391780606013166
8,1506.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.556506054671928
9,1561.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.608254821977908
10,1368.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.417852514885897
11,1722.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.749869427396844
12,2895.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.4993476328766
13,1989.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.957827560833744
14,1599.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.642954223480332
15,2072.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.016808287686555
16,2142.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.064742764750257
17,1428.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.479780264029099
18,2471.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.270879295328784
19,2001.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.966505451905741
20,2215.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.113090983442381
21,1302.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.346513733165635
22,1633.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.673309075561695
23,2081.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.023061249735335
24,1818.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.828136484194108
25,1990.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.958552715431011
26,1765.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.785452468158542
27,2665.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.379919817646538
28,1924.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.909893083770042
29,1352.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.400879436282183
30,3055.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.576956664706092
31,2663.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.378836713210614
32,1739.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,10.764042217306587
33,2434.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.249113452713729
34,2172.0,virB4 C58,virB4 A4,0.059975985999999995,virB4,A4,11.084808387804362
